Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
,1. ESPECIFICACIÓN FINAL,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,"2. VALIDACIÓN
(El producto satisface los requisitos para su uso)",,,,
,,,,,
,,ÁREA,ASPECTO A VALIDAR,VALIDAR (OK/NOK),COMENTARIOS
,,I+D+i,Fórmula - Funcionalidad,,
,,Técnico,Validación agronómica,,
,,Registros,Cumplimiento legislativo,,
,,Producción,Viabilidad productiva,,
,,Calidad,Cumplimiento legislativo,,
,,Calidad,Composición declarada,,
,,Calidad,Estabilidad química,,
,,Marketing y/o Dirección,Precio Tarifa,,
,,Marketing y/o Dirección,Lanzamiento,,
,,,,,
,,Fecha de validación:,,,
